time_s,gw,A->B,A->C,A->D,B->A,B->C,B->D,C->A,C->B,C->D,D->A,D->B,D->C
0.0,B,-61,-67,-56,-58,-70,-68,-67,-66,-57,0,0,0
0.1,B,-60,-62,-54,-57,-70,-65,-63,-67,-60,0,0,0
0.2,B,-59,-64,-58,-57,-70,-65,-65,-66,-54,0,0,0
0.3,B,-57,-62,-58,-59,-70,-65,-62,-70,-56,-59,-65,-59
0.4,B,-56,-63,-56,-55,-68,-66,-63,-67,-58,-57,-68,-54
0.5,B,-56,-61,-58,-61,-66,-67,-63,-67,-58,-54,-66,-58
0.6,B,-61,-67,-55,-58,-69,-63,-65,-69,-57,-56,-69,-55
0.7,B,-55,-63,-55,-55,-64,-67,-65,-65,-58,-55,-66,-56
0.8,B,-61,-61,-59,-59,-67,-64,-62,-70,-60,-54,-64,-58
0.9,B,-57,-62,-53,-58,-68,-64,-64,-65,-58,-59,-66,-58
1.0,B,-57,-67,-56,-61,-69,-63,-65,-69,-55,-58,-66,-57
1.1,B,-61,-66,-56,-58,-66,-67,-66,-64,-57,-53,-65,-58
1.2,B,-59,-62,-56,-60,-69,-69,-66,-69,-59,-54,-68,-60
1.3,B,-55,-63,-58,-59,-68,-69,-66,-67,-56,-57,-65,-56
1.4,B,-60,-62,-53,-57,-66,-64,-62,-65,-60,-56,-63,-54
1.5,B,-58,-64,-56,-58,-70,-66,-62,-67,-60,-58,-69,-59
1.6,B,-60,-67,-57,-57,-70,-69,-67,-66,-59,-55,-69,-58
1.7,B,-61,-67,-53,-60,-66,-66,-66,-65,-58,-57,-65,-58
1.8,B,-61,-67,-53,-58,-67,-66,-64,-68,-60,-58,-69,-55
1.9,B,-56,-65,-56,-55,-65,-68,-63,-70,-59,-55,-67,-59
2.0,B,-61,-61,-55,-59,-65,-63,-67,-65,-54,-57,-65,-58
2.1,B,-59,-61,-58,-57,-66,-63,-63,-68,-55,-58,-65,-54
